what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502602819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502606062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502674243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502684863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502685016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502687553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502687804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502709796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502710022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502710208
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502710530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317502718173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502720710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502723997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502729386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502737465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317502746974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502749493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502753837
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317502753894
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317502755509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502763687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317502763870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317502767581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502773647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502776804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502812784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502839590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502841769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502843368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317502851006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317533867757
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317533873242
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1317533874978
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1317533875041
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317533880496
closed,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1317533880501
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317533883338
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1317533896857
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1317533897210
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1317533897540
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1317533897708
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1317533899137
